dataset,strategy,requested_model_a,requested_model_b,n_overlap,acc_a,acc_b,n01_a0_b1,n10_a1_b0,mcnemar_stat,p_value
arc_challenge,zero_shot,gemma_4_26b_a4b,gemma_4_e2b,100,0.96,0.75,1,22,17.391304347826086,5.7220458984375e-06
arc_challenge,zero_shot,gemma_4_26b_a4b,gemma_4_e4b,100,0.96,0.67,1,30,25.29032258064516,2.9802322387695312e-08
arc_challenge,zero_shot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.96,0.27,1,70,65.12676056338029,8.735848890518809e-16
arc_challenge,zero_shot,gemma_4_26b_a4b,phi_4_reasoning,100,0.96,0.3,1,67,62.13235294117647,3.5550311609441887e-16
arc_challenge,zero_shot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.96,0.25,1,72,67.12328767123287,2.4422670374772693e-16
arc_challenge,zero_shot,gemma_4_26b_a4b,qwen3_8b,100,0.96,0.24,1,73,68.12162162162163,1.8345664258432237e-15
arc_challenge,zero_shot,gemma_4_e2b,gemma_4_e4b,100,0.75,0.67,12,20,1.53125,0.21532714972272515
arc_challenge,zero_shot,gemma_4_e2b,phi_4_mini_reasoning,100,0.75,0.27,6,54,36.81666666666667,9.722961671898567e-11
arc_challenge,zero_shot,gemma_4_e2b,phi_4_reasoning,100,0.75,0.3,7,52,32.813559322033896,1.3589917802203644e-09
arc_challenge,zero_shot,gemma_4_e2b,qwen3_30b_a3b,100,0.75,0.25,6,56,38.725806451612904,2.972584851879123e-11
arc_challenge,zero_shot,gemma_4_e2b,qwen3_8b,100,0.75,0.24,5,56,40.98360655737705,5.645556938604912e-12
arc_challenge,zero_shot,gemma_4_e4b,phi_4_mini_reasoning,100,0.67,0.27,1,41,36.214285714285715,1.9554136088117957e-11
arc_challenge,zero_shot,gemma_4_e4b,phi_4_reasoning,100,0.67,0.3,2,39,31.609756097560975,7.839844329282641e-10
arc_challenge,zero_shot,gemma_4_e4b,qwen3_30b_a3b,100,0.67,0.25,1,43,38.20454545454545,5.115907697472721e-12
arc_challenge,zero_shot,gemma_4_e4b,qwen3_8b,100,0.67,0.24,1,44,39.2,2.6147972675971687e-12
arc_challenge,zero_shot,phi_4_mini_reasoning,phi_4_reasoning,100,0.27,0.3,3,0,1.3333333333333333,0.25
arc_challenge,zero_shot,phi_4_mini_reasoning,qwen3_30b_a3b,100,0.27,0.25,1,3,0.25,0.625
arc_challenge,zero_shot,phi_4_mini_reasoning,qwen3_8b,100,0.27,0.24,2,5,0.5714285714285714,0.453125
arc_challenge,zero_shot,phi_4_reasoning,qwen3_30b_a3b,100,0.3,0.25,0,5,3.2,0.0625
arc_challenge,zero_shot,phi_4_reasoning,qwen3_8b,100,0.3,0.24,0,6,4.166666666666667,0.03125
arc_challenge,zero_shot,qwen3_30b_a3b,qwen3_8b,100,0.25,0.24,3,4,0.0,1.0
gsm8k,cot,gemma_4_26b_a4b,gemma_4_e2b,100,0.28,0.24,6,10,0.5625,0.454498291015625
gsm8k,cot,gemma_4_26b_a4b,gemma_4_e4b,100,0.28,0.34,11,5,1.5625,0.210113525390625
gsm8k,cot,gemma_4_26b_a4b,phi_4_mini_reasoning,100,0.28,0.02,0,26,24.03846153846154,2.9802322387695312e-08
gsm8k,cot,gemma_4_26b_a4b,phi_4_reasoning,100,0.28,0.67,40,1,35.21951219512195,3.8198777474462986e-11
gsm8k,cot,gemma_4_26b_a4b,qwen3_30b_a3b,100,0.28,0.04,1,25,20.346153846153847,8.046627044677734e-07
gsm8k,cot,gemma_4_26b_a4b,qwen3_8b,100,0.28,0.01,0,27,25.037037037037038,1.4901161193847656e-08
gsm8k,cot,gemma_4_e2b,gemma_4_e4b,100,0.24,0.34,12,2,5.785714285714286,0.012939453125
gsm8k,cot,gemma_4_e2b,phi_4_mini_reasoning,100,0.24,0.02,0,22,20.045454545454547,4.76837158203125e-07
gsm8k,cot,gemma_4_e2b,phi_4_reasoning,100,0.24,0.67,43,0,41.02325581395349,2.2737367544323206e-13
gsm8k,cot,gemma_4_e2b,qwen3_30b_a3b,100,0.24,0.04,1,21,16.40909090909091,1.0967254638671875e-05
gsm8k,cot,gemma_4_e2b,qwen3_8b,100,0.24,0.01,0,23,21.043478260869566,2.384185791015625e-07
gsm8k,cot,gemma_4_e4b,phi_4_mini_reasoning,100,0.34,0.02,0,32,30.03125,4.656612873077393e-10
gsm8k,cot,gemma_4_e4b,phi_4_reasoning,100,0.34,0.67,35,2,27.675675675675677,1.0244548320770264e-08
gsm8k,cot,gemma_4_e4b,qwen3_30b_a3b,100,0.34,0.04,1,31,26.28125,1.5366822481155396e-08
gsm8k,cot,gemma_4_e4b,qwen3_8b,100,0.34,0.01,0,33,31.03030303030303,2.3283064365386963e-10
