requested_model_name,actual_model_name,arc_challenge__cot,arc_challenge__few_shot_cot,arc_challenge__zero_shot,gsm8k__cot,gsm8k__few_shot_cot,gsm8k__zero_shot,math_l1_l3__cot,math_l1_l3__few_shot_cot,math_l1_l3__zero_shot,truthfulqa_mc1__cot,truthfulqa_mc1__few_shot_cot,truthfulqa_mc1__zero_shot
gemma_4_26b_a4b,gemma_4_26b_a4b,0.96,0.96,0.96,0.28,0.68,0.31,0.24,0.39,0.3,0.81,0.82,0.81
gemma_4_e2b,gemma_4_e2b,0.75,0.75,0.75,0.24,0.46,0.28,0.22,0.36,0.28,0.55,0.51,0.55
gemma_4_e4b,gemma_4_e4b,0.67,0.9,0.67,0.34,0.67,0.4,0.37,0.49,0.43,0.86,0.8,0.86
phi_4_mini_reasoning,phi_4_mini_reasoning,0.27,0.25,0.27,0.02,0.08,0.01,0.06,0.08,0.03,0.99,0.97,0.99
phi_4_reasoning,phi_4_reasoning,0.3,0.3,0.3,0.67,0.11,0.66,0.0,0.0,0.0,0.99,1.0,0.99
qwen3_30b_a3b,qwen3_30b_a3b,0.25,0.27,0.25,0.04,0.07,0.03,0.02,0.15,0.02,0.98,0.99,0.98
qwen3_8b,qwen3_8b,0.24,0.25,0.24,0.01,0.28,0.01,0.0,0.21,0.0,0.94,0.97,0.94
